k0,S
331.11054684954513,16.208185304133966
348.50393939626963,24.05200526107056
522.3264011033737,18.897555609140987
541.5132868633607,19.733097492462406
375.69687869056105,22.975459204892545
459.9421892773106,18.207342985334527
324.9278068647614,16.688115503521512
310.5866441446535,15.937307260687572
484.4557168048883,20.517150412920337
629.0847328964778,17.919574595784834
540.5357814332062,22.198732265900087
365.5946174494277,22.132645961143105
621.9411997576253,22.03754838073231
200.3201054465929,15.387894512575288
664.614631315441,23.644874602464995
348.4892396560076,22.107346880674683
699.2713082614064,23.53719838452513
470.913824207547,18.939712209213774
695.8735017471298,22.70923923487962
219.99113378734603,23.584618906450366
368.8933246288775,22.001370075081734
237.65108717601902,17.113125967168365
202.90972028081805,17.114274178730486
510.23281232393373,19.660789262109958
474.3458570416262,22.664006120733177
520.3591638185201,22.473371528584337
254.08657804234429,18.770567068733794
382.4478557599468,16.84027853807175
209.2353022314941,15.874486278548146
458.63990454745857,17.35344968247749
651.4996989659003,17.614810931166033
533.7964924420692,22.865782470332796
416.01753701583107,23.766689168085854
523.3145267744401,16.718815658214268
594.9007925033712,20.093795294232805
500.8356987786603,16.12158614139806
274.1463195684795,17.231709629359948
364.60655919685894,19.47610620631744
636.8133532477132,22.6076148025859
316.89734988107114,15.313636294459895
626.012511000391,16.77577049275476
423.77847750233315,20.66637114518337
440.4958527600145,21.162648169940528
311.9721176428822,17.84777034483234
604.0309580502083,18.438496309251452
363.3859234743845,19.81954908389273
449.8953069769312,15.674185085854136
202.8624791995855,23.690781894795798
503.77005963075754,22.867090946978863
319.0114749040842,21.9847839835425
418.1684122630244,15.459366994277032
582.6476196203068,16.894288289062466
666.1692676626369,19.814393118390566
446.2277235770695,23.15635531220648
585.0233485563547,18.864292410375715
368.87643978688914,15.164402029553509
395.2013478904787,18.285646750755053
688.8708432584451,15.980265208704928
460.43425357196406,17.00515790847982
267.66627455127514,21.591013075623344
647.266389172338,20.447978214243122
256.49740655213157,19.561105626070294
308.83364100418265,22.639208913559024
495.0179569829986,19.227724823990894
428.4630085916627,22.269719506364872
659.4962460299946,23.9737745021924
644.3100626833655,19.468283550076734
231.94821199396773,23.7447430806078
520.512243155533,16.931134927741226
430.7339778943299,16.60662989657744
332.062797947892,21.12000669675593
411.3272517657468,15.243289811089756
666.4014001730159,19.718292328013135
392.4327356636377,20.0095088981275
494.4851513579358,17.890082440543644
511.24714297054743,18.227144784098257
656.2610669237225,21.642690212745375
687.3572480532861,22.79974548164509
619.8958239816441,21.17494984949283
486.50808856349676,18.49440858773161
577.0571925009649,15.761178809000464
619.2211650091008,20.91976482467241
266.720467942761,20.806733507355577
280.28411938044144,24.73598896921174
332.55787092619073,16.135565310193165
215.75070541675723,20.80601073685888
680.7249642570139,16.720108431402107
233.21154103357688,23.620659950222088
626.986934756927,18.832142858364712
242.68224875069947,15.484542941923566
221.61989260985274,24.745942420317057
311.89432557597866,19.073972528707273
441.18280396605587,24.232130236654537
677.4455972548842,18.71680000941582
230.64575742816862,24.53139451076948
695.8152735629745,18.176858810266936
334.8207095635545,23.1217065348891
425.36910191701145,24.41637651774574
472.22507437124034,15.328523423623588
470.18761566043895,19.910168343932696
